1.	0.267	0.111	0.059	0.037	0.019	0.01	0.005	0.004	0.003	0.002
1.2	0.353	0.159	0.088	0.055	0.029	0.015	0.008	0.006	0.005	0.004
1.4	0.437	0.214	0.123	0.079	0.042	0.022	0.011	0.009	0.007	0.006
1.6	0.516	0.277	0.166	0.109	0.06	0.032	0.017	0.013	0.011	0.009
1.8	0.588	0.345	0.217	0.147	0.083	0.045	0.024	0.019	0.015	0.012
2.	0.653	0.417	0.277	0.194	0.113	0.062	0.033	0.027	0.022	0.017
2.2	0.709	0.492	0.346	0.252	0.152	0.086	0.047	0.038	0.031	0.025
2.4	0.757	0.566	0.423	0.321	0.204	0.12	0.066	0.054	0.045	0.036
2.6	0.799	0.637	0.506	0.403	0.272	0.166	0.094	0.078	0.064	0.052
2.8	0.833	0.704	0.593	0.497	0.359	0.232	0.136	0.113	0.094	0.076
3.	0.863	0.766	0.68	0.601	0.47	0.325	0.2	0.168	0.14	0.114
3.2	0.887	0.82	0.765	0.71	0.604	0.456	0.299	0.255	0.215	0.178
3.4	0.907	0.866	0.842	0.817	0.757	0.636	0.458	0.399	0.344	0.29
3.6	0.923	0.905	0.908	0.916	0.919	0.867	0.711	0.643	0.572	0.496
3.8	0.937	0.936	0.962	0.999	1.068	1.129	1.091	1.045	0.978	0.894
4.	0.948	0.96	1.004	1.062	1.185	1.367	1.564	1.611	1.626	1.617
4.2	0.958	0.979	1.032	1.102	1.255	1.51	1.925	2.098	2.289	2.509
4.4	0.965	0.993	1.05	1.123	1.276	1.529	1.953	2.134	2.364	2.645
4.6	0.972	1.002	1.06	1.128	1.26	1.454	1.721	1.814	1.917	2.02
4.8	0.977	1.009	1.062	1.121	1.221	1.338	1.436	1.454	1.454	1.44
5.	0.981	1.013	1.06	1.106	1.172	1.218	1.201	1.177	1.135	1.081
5.2	0.984	1.015	1.055	1.089	1.122	1.113	1.031	0.988	0.934	0.871
5.4	0.987	1.016	1.048	1.069	1.075	1.029	0.914	0.863	0.809	0.747
5.6	0.99	1.016	1.04	1.051	1.036	0.966	0.836	0.785	0.732	0.673
5.8	0.991	1.015	1.032	1.034	1.004	0.921	0.789	0.739	0.689	0.634
6.	0.993	1.014	1.025	1.02	0.98	0.892	0.765	0.72	0.672	0.622
6.2	0.994	1.012	1.019	1.008	0.963	0.877	0.762	0.722	0.68	0.635
6.4	0.995	1.011	1.013	0.999	0.952	0.874	0.775	0.742	0.709	0.673
6.6	0.996	1.01	1.008	0.993	0.947	0.88	0.803	0.779	0.758	0.735
6.8	0.997	1.008	1.005	0.988	0.947	0.893	0.843	0.831	0.822	0.817
7.	0.998	1.007	1.002	0.986	0.95	0.912	0.891	0.892	0.899	0.913
7.4	0.999	1.005	0.998	0.984	0.964	0.959	0.997	1.023	1.058	1.108
7.8	0.999	1.003	0.996	0.987	0.981	1.004	1.08	1.116	1.157	1.201
8.2	1.	1.002	0.996	0.991	0.996	1.034	1.114	1.144	1.169	1.188
8.6	1.	1.001	0.996	0.994	1.006	1.044	1.098	1.111	1.122	1.126
9.	1.	1.001	0.997	0.998	1.011	1.037	1.05	1.045	1.034	1.019
9.4	1.	1.	0.998	1.	1.011	1.022	1.001	0.983	0.96	0.933
9.8	1.	1.	0.999	1.001	1.009	1.006	0.968	0.946	0.924	0.898
10.2	1.	1.	0.999	1.002	1.006	0.994	0.953	0.936	0.918	0.9
10.6	1.	1.	1.	1.002	1.002	0.988	0.957	0.949	0.942	0.939
11.	1.	1.	1.	1.001	1.	0.987	0.974	0.976	0.983	0.998
11.4	1.	1.	1.	1.001	0.998	0.989	0.994	1.004	1.018	1.04
11.8	1.	1.	1.	1.001	0.998	0.994	1.011	1.024	1.04	1.058
12.2	1.	1.	1.	1.	0.998	0.999	1.019	1.03	1.04	1.047
12.6	1.	1.	1.	1.	0.998	1.002	1.019	1.024	1.026	1.023
13.	1.	1.	1.	1.	0.999	1.004	1.014	1.013	1.01	1.002
13.8	1.	1.	1.	1.	1.	1.003	0.998	0.991	0.983	0.973
14.6	1.	1.	1.	1.	1.	1.	0.992	0.988	0.985	0.984
15.4	1.	1.	1.	1.	1.	0.999	0.996	0.998	1.003	1.01
16.2	1.	1.	1.	1.	1.	0.999	1.002	1.006	1.01	1.013
17.	1.	1.	1.	1.	1.	1.	1.003	1.004	1.004	1.001
17.8	1.	1.	1.	1.	1.	1.	1.001	0.999	0.996	0.993
18.6	1.	1.	1.	1.	1.	1.	0.999	0.998	0.996	0.995
19.4	1.	1.	1.	1.	1.	1.	0.999	0.999	1.	1.002
20.2	1.	1.	1.	1.	1.	1.	1.	1.001	1.002	1.004
